method: expEuler
test: test1
0 0 0 
0.001 -0.001 0.001 
0.002 -0.002002 0.001994 
0.003 -0.003006 0.00298198 
0.004 -0.004012 0.00396394 
0.005 -0.00502001 0.00493985 
0.006 -0.00603003 0.00590971 
0.007 -0.00704205 0.00687349 
0.008 -0.00805609 0.00783119 
0.009 -0.00907214 0.00878279 
0.01 -0.0100902 0.00972828 
0.011 -0.0111103 0.0106676 
0.012 -0.0121324 0.0116009 
0.013 -0.0131565 0.0125279 
0.014 -0.0141827 0.0134488 
0.015 -0.0152109 0.0143636 
0.016 -0.0162411 0.0152721 
0.017 -0.0172733 0.0161744 
0.018 -0.0183076 0.0170705 
0.019 -0.0193439 0.0179604 
0.02 -0.0203823 0.018844 
0.021 -0.0214227 0.0197213 
0.022 -0.0224652 0.0205924 
0.023 -0.0235097 0.0214572 
0.024 -0.0245562 0.0223157 
0.025 -0.0256049 0.0231679 
0.026 -0.0266555 0.0240137 
0.027 -0.0277083 0.0248532 
0.028 -0.0287631 0.0256863 
0.029 -0.0298199 0.0265131 
0.03 -0.0308789 0.0273334 
0.031 -0.0319399 0.0281474 
0.032 -0.033003 0.028955 
0.033 -0.0340681 0.0297561 
0.034 -0.0351354 0.0305508 
0.035 -0.0362047 0.0313391 
0.036 -0.0372761 0.0321209 
0.037 -0.0383497 0.0328962 
0.038 -0.0394253 0.033665 
0.039 -0.040503 0.0344273 
0.04 -0.0415828 0.0351831 
0.041 -0.0426647 0.0359324 
0.042 -0.0437488 0.0366751 
0.043 -0.0448349 0.0374113 
0.044 -0.0459232 0.0381409 
0.045 -0.0470136 0.0388639 
0.046 -0.0481061 0.0395803 
0.047 -0.0492008 0.0402901 
0.048 -0.0502975 0.0409933 
0.049 -0.0513965 0.0416898 
0.05 -0.0524975 0.0423797 
0.051 -0.0536007 0.0430629 
0.052 -0.0547061 0.0437394 
0.053 -0.0558136 0.0444093 
0.054 -0.0569232 0.0450724 
0.055 -0.058035 0.0457289 
0.056 -0.059149 0.0463786 
0.057 -0.0602652 0.0470215 
0.058 -0.0613835 0.0476577 
0.059 -0.062504 0.0482871 
0.06 -0.0636266 0.0489098 
0.061 -0.0647515 0.0495256 
0.062 -0.0658786 0.0501347 
0.063 -0.0670078 0.0507369 
0.064 -0.0681392 0.0513323 
0.065 -0.0692729 0.0519208 
0.066 -0.0704087 0.0525025 
0.067 -0.0715468 0.0530772 
0.068 -0.0726871 0.0536452 
0.069 -0.0738296 0.0542062 
0.07 -0.0749743 0.0547602 
0.071 -0.0761212 0.0553074 
0.072 -0.0772704 0.0558476 
0.073 -0.0784218 0.0563809 
0.074 -0.0795755 0.0569072 
0.075 -0.0807314 0.0574265 
0.076 -0.0818896 0.0579388 
0.077 -0.08305 0.0584441 
0.078 -0.0842127 0.0589424 
0.079 -0.0853776 0.0594336 
0.08 -0.0865449 0.0599178 
0.081 -0.0877144 0.060395 
0.082 -0.0888861 0.060865 
0.083 -0.0900602 0.061328 
0.084 -0.0912366 0.0617839 
0.085 -0.0924152 0.0622326 
0.086 -0.0935962 0.0626743 
0.087 -0.0947795 0.0631088 
0.088 -0.095965 0.0635361 
0.089 -0.0971529 0.0639563 
0.09 -0.0983431 0.0643693 
0.091 -0.0995357 0.0647751 
0.092 -0.100731 0.0651737 
0.093 -0.101928 0.065565 
0.094 -0.103127 0.0659492 
0.095 -0.104329 0.0663261 
0.096 -0.105533 0.0666957 
0.097 -0.10674 0.067058 
0.098 -0.107949 0.0674131 
0.099 -0.10916 0.0677609 
0.1 -0.110374 0.0681013 
0.101 -0.11159 0.0684344 
0.102 -0.112809 0.0687602 
0.103 -0.11403 0.0690786 
0.104 -0.115253 0.0693897 
0.105 -0.116479 0.0696933 
0.106 -0.117707 0.0699896 
0.107 -0.118937 0.0702785 
0.108 -0.12017 0.0705599 
0.109 -0.121406 0.0708339 
0.11 -0.122643 0.0711005 
0.111 -0.123884 0.0713595 
0.112 -0.125126 0.0716111 
0.113 -0.126371 0.0718553 
0.114 -0.127619 0.0720919 
0.115 -0.128869 0.072321 
0.116 -0.130122 0.0725425 
0.117 -0.131376 0.0727565 
0.118 -0.132634 0.072963 
0.119 -0.133894 0.0731618 
0.12 -0.135156 0.0733531 
0.121 -0.136421 0.0735368 
0.122 -0.137689 0.0737129 
0.123 -0.138959 0.0738813 
0.124 -0.140231 0.0740421 
0.125 -0.141506 0.0741952 
0.126 -0.142784 0.0743407 
0.127 -0.144064 0.0744785 
0.128 -0.145346 0.0746085 
0.129 -0.146631 0.0747309 
0.13 -0.147919 0.0748455 
0.131 -0.149209 0.0749524 
0.132 -0.150502 0.0750515 
0.133 -0.151797 0.0751429 
0.134 -0.153095 0.0752264 
0.135 -0.154396 0.0753022 
0.136 -0.155699 0.0753702 
0.137 -0.157005 0.0754303 
0.138 -0.158313 0.0754826 
0.139 -0.159624 0.075527 
0.14 -0.160938 0.0755635 
0.141 -0.162254 0.0755922 
0.142 -0.163572 0.075613 
0.143 -0.164894 0.0756258 
0.144 -0.166218 0.0756307 
0.145 -0.167545 0.0756277 
0.146 -0.168874 0.0756167 
0.147 -0.170206 0.0755978 
0.148 -0.171541 0.0755708 
